task,method,threshold_rank,threshold,threshold_source,evaluation_status,no_rescue_sentinel,gate_rows,gate_positive_count,gate_prevalence,predicted_positive_count,true_positive,false_positive,false_positive_actual_phase3,phase4_precision,phase4_recall,accuracy,balanced_accuracy,ordinal_mae,precision_gate_passed,accuracy_gate_passed,balanced_accuracy_gate_passed,ordinal_mae_gate_passed,recall_gate_passed,eligible,selected
Forecasting,direct_phase34_xgboost,1,0.5,fixed_predeclared,not_selected,False,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,False
Forecasting,single_score,1,0.1926001310348511,pre2022_meta_validation,selected_no_rescue,True,1865,174,0.093297587131367293,0,0,0,0,<NA>,0,0.60482573726541555,0.20000000000000001,0.40965147453083112,0.0,0.0,1.0,1.0,0.0,0.0,True
Forecasting,single_score,2,0.19260013103485107,pre2022_meta_validation,evaluated,False,1865,174,0.093297587131367293,1,0,1,1,0,0,0.60428954423592496,0.19982269503546099,0.41018766756032171,0.0,0.0,0.0,0.0,0.0,0.0,False
Forecasting,single_score,3,0.19255158305168152,pre2022_meta_validation,evaluated,False,1865,174,0.093297587131367293,2,0,2,2,0,0,0.60375335120643436,0.199645390070922,0.41072386058981231,0.0,0.0,0.0,0.0,0.0,0.0,False
Forecasting,single_score,4,0.19244095683097839,pre2022_meta_validation,evaluated,False,1865,174,0.093297587131367293,3,1,2,2,0.33333333333333331,0.0057471264367816091,0.60428954423592496,0.20079481535827831,0.41018766756032171,1.0,0.0,1.0,0.0,1.0,0.0,False
Forecasting,single_score,5,0.18989028036594391,pre2022_meta_validation,evaluated,False,1865,174,0.093297587131367293,7,2,5,5,0.2857142857142857,0.011494252873563218,0.60321715817694366,0.20141232575201759,0.41126005361930296,0.0,0.0,1.0,0.0,1.0,0.0,False
Forecasting,single_score,6,0.1885075569152832,pre2022_meta_validation,evaluated,False,1865,174,0.093297587131367293,8,2,6,6,0.25,0.011494252873563218,0.60268096514745306,0.2012350207874786,0.41179624664879355,0.0,0.0,1.0,0.0,1.0,0.0,False
Forecasting,single_score,7,0.18824666738510132,pre2022_meta_validation,evaluated,False,1865,174,0.093297587131367293,12,4,8,8,0.33333333333333331,0.022988505747126436,0.60268096514745306,0.20317926143311324,0.41179624664879355,1.0,0.0,1.0,0.0,1.0,0.0,False
Forecasting,single_score,8,0.18797744810581207,pre2022_meta_validation,evaluated,False,1865,174,0.093297587131367293,13,5,8,8,0.38461538461538464,0.028735632183908046,0.60321715817694366,0.20432868672046953,0.41126005361930296,1.0,0.0,1.0,0.0,1.0,0.0,False
Forecasting,single_score,9,0.18737037479877472,pre2022_meta_validation,evaluated,False,1865,174,0.093297587131367293,14,5,9,9,0.35714285714285715,0.028735632183908046,0.60268096514745306,0.20415138175593053,0.41179624664879355,1.0,0.0,1.0,0.0,1.0,0.0,False
